Property,Sizes
l_comment.dictionary.size,"33352055, 33442097, 28080943, 33504834"
l_comment.forward_index.size,"2271811, 2278496, 1890888, 2283726"
l_commitdate.dictionary.size,"5438, 5438, 4258, 5438"
l_commitdate.forward_index.size,"1135910, 1139252, 850904, 1141867"
l_discount.dictionary.size,"96, 96, 96, 96"
l_discount.forward_index.size,"454369, 455706, 378184, 456752"
l_extendedprice.dictionary.size,"4532592, 4541712, 4047528, 4544024"
l_extendedprice.forward_index.size,"2271811, 2278496, 1796344, 2283726"
l_linenumber.dictionary.size,"36, 36, 36, 36"
l_linenumber.forward_index.size,"340779, 341782, 283640, 342566"
l_linestatus.dictionary.size,"9, 9, 9, 9"
l_linestatus.forward_index.size,"16, 16, 16, 16"
l_orderkey.dictionary.size,"1059900, 1065868, 833012, 1067284"
l_orderkey.forward_index.size,"2158221, 2164572, 1701800, 2169540"
l_partkey.dictionary.size,"791032, 791640, 781960, 791616"
l_partkey.forward_index.size,"2044631, 2050647, 1701800, 2055354"
l_quantity.dictionary.size,"408, 408, 408, 408"
l_quantity.forward_index.size,"681549, 683555, 567272, 685124"
l_receiptdate.dictionary.size,"3948, 3948, 3938, 3958"
l_receiptdate.forward_index.size,"1022320, 1025328, 850904, 1027681"
l_returnflag.dictionary.size,"10, 9, 10, 9"
l_returnflag.forward_index.size,"113599, 16, 94552, 16"
l_shipdate.dictionary.size,"3658, 3658, 3658, 3668"
l_shipdate.forward_index.size,"2928, 2928, 2928, 2936"
l_shipinstruct.dictionary.size,"76, 76, 76, 76"
l_shipinstruct.forward_index.size,"227189, 227857, 189096, 228380"
l_shipmode.dictionary.size,"57, 57, 57, 57"
l_shipmode.forward_index.size,"340779, 341782, 283640, 342566"
l_suppkey.dictionary.size,"40008, 40008, 40008, 40008"
l_suppkey.forward_index.size,"1590270, 1594950, 1323624, 1598611"
l_tax.dictionary.size,"80, 80, 80, 80"
l_tax.forward_index.size,"454369, 455706, 378184, 456752"
